SBS_Code,SBS_Code_Hyphenated,Short_Description,Long_Description,Chapter,Chapter_Name,Block,Block_Name,Definition,Includes,Excludes ,Guidelines,
408030000,40803-00-00,Intracranial stereotactic localisation,Intracranial stereotactic localization,1,Procedures on nervous system ,1,"Examination of skull, meninges or brain",,"Angiography
Application Of Head Frame
Computer Assisted Coordinate Determination
Computerized Tomography [CT]
Localization
Magnetic Resonance Imaging [MRI]
Targeting
Ventriculography
Stereotactic Localization For:
• Brachytherapy
• Intracranial Surgery
• Radiosurgery","Functional Stereotactic Procedure (40801-00-00 [27])
Stereotactic:
• Cingulotomy (40801-00-00 [27])
• Pallidotomy (40801-00-00 [27])
• Thalamotomy (40801-00-00 [27])","Code also 
Surgical procedure(s) performed
Code also When Performed
Brachytherapy (90764-00-00 [1791])
Burr holes (39012-00-00 [7])
Radiosurgery (15600-00-00, 15600-01-00 [1789], 90764-00-00 [1791])",
409030000,40903-00-00,Neuroendoscopy,Neuroendoscopy,1,Procedures on nervous system ,1,"Examination of skull, meninges or brain",,Intraventricular Neuroendoscopy,That with Biopsy (40903-01-00 [12]),"Code also When Performed
• Insertion of shunt (40003-00-00, 40003-01-00, 40003-02-00, 40003-03-00 [5])
• Third ventriculostomy (40012-00-00, 40012-01-00 [19])",
390030000,39003-00-00,Cisternal puncture,Cisternal puncture,1,Procedures on nervous system ,2,Cranial tap or puncture,A needle placed below the occipital bone (back of the skull),,,,
390060000,39006-00-00,Ventricular puncture,Ventricular puncture,1,Procedures on nervous system ,2,Cranial tap or puncture,,Ventricular Puncture Through Previously Implanted Catheter,,,
390090000,39009-00-00,Tap for subdural haemorrhage,Tap for subdural haemorrhage,1,Procedures on nervous system ,2,Cranial tap or puncture,,Tap Through Fontanelle,,,
397030300,39703-03-00,Aspiration of brain cyst,Aspiration of brain cyst,1,Procedures on nervous system ,2,Cranial tap or puncture,Navigation-guided cyst aspiration followed by resection is a procedure for brain tumors with large cystic components,,,,
900000000,90000-00-00,Other cranial puncture,Other cranial puncture,1,Procedures on nervous system ,2,Cranial tap or puncture,,"Aspiration of:
• Subarachnoid Space
• Subdural Space Nos
Cranial Aspiration Nos",,,
390150000,39015-00-00,Insertion of external ventricular drain,Insertion of external ventricular drain,1,Procedures on nervous system ,3,Insertion of intracranial cerebrospinal fluid devices,,"Replacement of Cerebrospinal Fluid Devices.
Revision of Cerebrospinal Fluid Devices.",,,
390150100,39015-01-00,Insertion of ventricular reservoir,Insertion of ventricular reservoir,1,Procedures on nervous system ,3,Insertion of intracranial cerebrospinal fluid devices,,"Replacement of Cerebrospinal Fluid Devices.
Revision of Cerebrospinal Fluid Devices.
Insertion of Reservoir:
• Ommaya
• Rickham's",,,
390150200,39015-02-00,Ins ICP monitoring device w monitoring,"Insertion of intracranial pressure [ICP] monitoring device, with monitoring",1,Procedures on nervous system ,3,Insertion of intracranial cerebrospinal fluid devices,,"Replacement of Cerebrospinal Fluid Devices.
Revision of Cerebrospinal Fluid Devices.",,,
900010000,90001-00-00,R/O external ventricular drain,Removal of external ventricular drain,1,Procedures on nervous system ,4,Removal of intracranial cerebrospinal fluid devices,Removal of a device used in neurosurgery to treat hydrocephalus and relieve elevated intracranial pressure when the normal flow of cerebrospinal fluid (csf) inside the brain is obstructed.,,That with Replacement (39015-00-00 [3]),,
